tagid,number,name,team,class
RIDER001,397,Tim Meyer,Team Süd,MX1
RIDER002,573,Marie Meyer,Team Ost,Veterans
RIDER003,270,Laura Wolf,Privateer,Quad
RIDER004,831,Lea Meyer,MSC Adler,Veterans
RIDER005,694,Paul Neumann,Privateer,MX2
RIDER006,833,Felix Klein,Team West,MX2
RIDER007,395,Hanna Braun,Team West,Youth
RIDER008,629,Paul Wagner,Team Ost,Veterans
RIDER009,877,Max Bauer,MX Racing,MX2
RIDER010,50,Emma Schwarz,Team Nord,Quad
RIDER011,487,Tim Krüger,MX Racing,Veterans
RIDER012,486,Anna Braun,MSC Adler,Youth
RIDER013,671,Ben Wagner,Team Nord,Youth
RIDER014,767,Emma Becker,Team Süd,MX1
RIDER015,714,Finn Schulz,MSC Adler,Quad
RIDER016,602,Emma Koch,Team Nord,MX1
RIDER017,195,Hanna Braun,Team Nord,Youth
RIDER018,655,Anna Schwarz,Privateer,Quad
RIDER019,45,Jan Meyer,MSC Adler,Veterans
RIDER020,821,Julia Meyer,RSV Blitz,Youth
RIDER021,652,Finn Schmidt,MSC Adler,Youth
RIDER022,423,Mia Zimmermann,Team Süd,Quad
RIDER023,49,Anna Müller,MX Racing,Youth
RIDER024,809,Leon Schneider,Team Nord,Youth
RIDER025,569,Tim Klein,Team Nord,Youth
RIDER026,851,Clara Klein,Team Nord,Veterans
RIDER027,444,Sophie Schulz,RSV Blitz,MX1
RIDER028,483,Jonas Neumann,MSC Adler,MX2
RIDER029,355,Emma Neumann,Team Ost,Youth
RIDER030,758,Paul Neumann,RSV Blitz,MX1
RIDER031,948,Finn Becker,Team Nord,MX1
RIDER032,245,Laura Bauer,Team Süd,Youth
RIDER033,446,Julia Koch,Team Süd,MX2
RIDER034,63,Anna Braun,Team Ost,Veterans
RIDER035,309,Ben Meyer,Team Nord,MX1
RIDER036,768,Julia Bauer,MSC Adler,Youth
RIDER037,34,Emma Klein,MX Racing,Youth
RIDER038,342,Mia Koch,MX Racing,Youth
RIDER039,456,Paul Schmidt,MX Racing,Veterans
RIDER040,550,Lea Müller,Team Nord,Quad
RIDER041,99,Lukas Wagner,Team Ost,MX1
RIDER042,906,Leon Richter,Team Ost,MX2
RIDER043,256,Paul Neumann,Privateer,Veterans
RIDER044,949,Clara Braun,Team Nord,Veterans
RIDER045,919,Marie Bauer,MX Racing,MX1
RIDER046,882,Jonas Bauer,Team West,MX2
RIDER047,830,Felix Wolf,Team Süd,Youth
RIDER048,392,Clara Müller,Team Nord,Veterans
RIDER049,313,Mia Krüger,MX Racing,MX2
RIDER050,196,Mia Koch,MSC Adler,MX1
RIDER051,123,Emma Müller,Privateer,Veterans
RIDER052,220,Hanna Weber,MSC Adler,Youth
RIDER053,494,Clara Schwarz,Team Nord,Veterans
RIDER054,470,Sophie Wolf,Privateer,Veterans
RIDER055,536,Jonas Fischer,RSV Blitz,Veterans
RIDER056,114,Hanna Wolf,RSV Blitz,MX1
RIDER057,349,Mia Becker,Team Süd,MX1
RIDER058,418,Mia Klein,MX Racing,MX2
RIDER059,387,Max Krüger,Team Süd,Veterans
RIDER060,769,Finn Schneider,MX Racing,Quad
RIDER061,917,Jan Müller,Team West,Youth
RIDER062,911,Jan Bauer,Team Nord,Quad
RIDER063,666,Marie Meyer,Privateer,MX2
RIDER064,260,Mia Koch,Team Nord,Veterans
RIDER065,498,Nina Schmidt,Team West,Youth
RIDER066,994,Mia Meyer,Team Ost,Veterans
RIDER067,716,Laura Richter,RSV Blitz,Quad
RIDER068,912,Nina Richter,RSV Blitz,MX1
RIDER069,453,Hanna Schneider,Privateer,Youth
RIDER070,198,Finn Krüger,Privateer,Youth
RIDER071,384,Anna Schulz,Team Ost,Youth
RIDER072,388,Emma Becker,MSC Adler,MX2
RIDER073,670,Felix Weber,Team West,Veterans
RIDER074,993,Julia Fischer,Team Süd,Youth
RIDER075,373,Felix Neumann,RSV Blitz,Veterans
