tagid,number,name,team,class
E280116060000204B0000000,101,Lukas Müller,MSC Adler,Team Pro
E280116060000204B0250001,102,Anna Schmidt,MSC Adler,Team Pro
E280116060000204B04A0002,103,Jonas Schneider,RC Falke,Team Pro
E280116060000204B06F0003,104,Lea Fischer,RC Falke,Team Pro
E280116060000204B0940004,105,Felix Weber,Team West,Team Pro
E280116060000204B0B90005,106,Marie Meyer,Team West,Team Pro
E280116060000204B0DE0006,107,Paul Wagner,MX Racing Nord,Team Pro
E280116060000204B1030007,108,Sophie Becker,MX Racing Nord,Team Pro
E280116060000204B1280008,109,Leon Schulz,RSV Blitz,Team Pro
E280116060000204B14D0009,110,Emma Hoffmann,RSV Blitz,Team Pro
E280116060000204B172000A,111,Finn Schäfer,Motorsportclub Oberes Kinzigtal e.V.,Team Pro
E280116060000204B197000B,112,Mia Koch,Motorsportclub Oberes Kinzigtal e.V.,Team Pro
E280116060000204B1BC000C,113,Noah Bauer,MC Hohenstein,Team Pro
E280116060000204B1E1000D,114,Hannah Richter,MC Hohenstein,Team Pro
E28011606000020B077007,115,Elias Klein,Team Speedline,Team Pro
E28011606000020B077007,116,Lena Wolf,Team Speedline,Team Pro
E280116060000204B2500010,117,Ben Schröder,Offroad Eifel,Team Hobby
E280116060000204B2750011,118,Laura Neumann,Offroad Eifel,Team Hobby
E280116060000204B29A0012,119,Max Schwarz,MSC Rhön,Team Hobby
E280116060000204B2BF0013,120,Julia Zimmermann,MSC Rhön,Team Hobby
E280116060000204B2E40014,121,Tim Braun,Enduro Freunde Lahntal,Team Hobby
E280116060000204B3090015,122,Clara Krüger,Enduro Freunde Lahntal,Team Hobby
E280116060000204B32E0016,123,Jan Hofmann,Team Bergwerk,Team Hobby
E280116060000204B3530017,124,Sarah Hartmann,Team Bergwerk,Team Hobby
E280116060000204B3780018,125,David Lange,Dirt Devils,Team Hobby
E280116060000204B39D0019,126,Lisa Schmitt,Dirt Devils,Team Hobby
E280116060000204B3C2001A,127,Niklas Werner,MC Sauerland,Team Hobby
E280116060000204B3E7001B,128,Katharina Schmitz,MC Sauerland,Team Hobby
E280116060000204B40C001C,129,Moritz Krause,Team Kettenrad,Team Hobby
E280116060000204B431001D,130,Johanna Meier,Team Kettenrad,Team Hobby
E28011606000020B0FF00F,131,Simon Lehmann,Hardenduro Crew,Team Hobby
E28011606000020B0FF00F,132,Theresa Schmid,Hardenduro Crew,Team Hobby
E280116060000204B4A00020,133,Tobias Schulze,MSC Wildsau,Team Senior
E280116060000204B4C50021,134,Franziska Maier,MSC Wildsau,Team Senior
E280116060000204B4EA0022,135,Florian Köhler,Team Staubwolke,Team Senior
E280116060000204B50F0023,136,Carolin Herrmann,Team Staubwolke,Team Senior
E280116060000204B5340024,137,Sebastian König,RG Moosbach,Team Senior
E280116060000204B5590025,138,Vanessa Walter,RG Moosbach,Team Senior
E28011606000020B143013,139,Dominik Mayer,Team Zweitakt,Team Senior
E28011606000020B143013,140,Helena Huber,Team Zweitakt,Team Senior
